id,created,updated,due,done,pinned,archived,priority,tags,title,text,source,words
1,2026-01-08,2026-01-08,,yes,no,no,low,home,buy milk,"Whole milk, two litres, and oat milk if the shop by the station has the barista one again; otherwise skip the oat milk and get more of the whole instead, it keeps until the weekend anyway.",import,36
3,2026-01-18,2026-02-02,2026-02-10,yes,yes,no,high,health,call the dentist about the crown,"The temporary crown on the lower left molar came loose on Tuesday. Ask whether they can see me before the tenth, whether the insurance covers a second fitting, and what to avoid eating until then.",import,35
4,2026-01-23,2026-01-23,2026-03-01,no,yes,no,high,papers,renew the passport before March,"Needs two photos to the new size rules, the old passport, the form printed on one side only, and the fee paid by card at the counter; the appointment slots open on Mondays at nine and go within the hour.",import,40
8,2026-02-12,2026-02-20,2026-02-28,no,no,no,medium,work money,send the invoice for August,"Hours from the timesheet, the travel to the client twice at the mileage rate agreed in the contract, the VAT number on the second line, and the payment terms of thirty days written out in full this time.",import,38
9,2026-02-17,2026-03-04,,no,no,no,low,study,read the chapter on B-trees,"Chapter six, the part on node splits and merges; then write out the insert of the keys 1 to 20 into a tree of order four by hand and check it against the figure, because last time the merge on delete went wrong.",import,43
13,2026-03-09,2026-03-09,2026-03-10,yes,no,yes,medium,work,move the standup to 10:30,"Everyone in the Berlin office asked for it after the clocks change; check the calendar invites of the whole team, the room booking for the Thursday demo, and the reminder bot, which still posts at ten sharp.",import,37
16,2026-03-24,2026-04-01,2026-04-02,no,no,no,high,work,write the retro notes,"What went well: the release went out on the day, the flaky test got fixed for good. What did not: the review queue sat for three days twice. Try: a reviewer of the day, rotated, named in the standup.",import,39
21,2026-04-18,2026-04-18,,no,yes,no,medium,computer,back up the photos,"Everything from the phone since the trip to the coast, the old laptop's Pictures folder, and the scans of the family albums; two copies, one on the external disk and one in the cloud, then check that a few open.",import,40
26,2026-05-13,2026-05-20,2026-06-06,no,no,no,low,outdoors family,plan the weekend hike,"The ridge walk from the lake, about fourteen kilometres with the climb at the start; the first train at 7:40, sandwiches, water for everyone, the paper map in case the phones run out, and a plan B if it rains.",import,40
33,2026-06-17,2026-07-01,2026-07-31,no,yes,no,high,money papers,sort out the tax receipts,"Medical receipts, the donation letters, the train tickets for work, and the invoice for the new desk chair; put them in the order of the form's sections and total each one before the appointment with the adviser.",import,37
